pais_es
Aruba
Afganistán
Angola
Anguilla
Alandia
Albania
Andorra
Emiratos Árabes Unidos
Argentina
Armenia
Samoa Americana
Antártida
Tierras Australes y Antárticas Francesas
Antigua y Barbuda
Australia
Austria
Azerbaiyán
Burundi
Bélgica
Benín
Burkina Faso
Bangladesh
Bulgaria
Bahrein
Bahamas
Bosnia y Herzegovina
San Bartolomé
"Santa Elena, Ascensión y Tristán de Acuña"
Bielorrusia
Belice
Bermudas
Bolivia
Caribe Neerlandés
Brasil
Barbados
Brunei
Bután
Isla Bouvet
Botswana
República Centroafricana
Canadá
Islas Cocos o Islas Keeling
Suiza
Chile
China
Costa de Marfil
Camerún
Congo (Rep. Dem.)
Congo
Islas Cook
Colombia
Comoras
Cabo Verde
Costa Rica
Cuba
Curazao
Isla de Navidad
Islas Caimán
Chipre
Chequia
Alemania
Djibouti
Dominica
Dinamarca
República Dominicana
Argelia
Ecuador
Egipto
Eritrea
Sahara Occidental
España
Estonia
Etiopía
Finlandia
Fiyi
Islas Malvinas
Francia
Islas Faroe
Micronesia
Gabón
Reino Unido
Georgia
Guernsey
Ghana
Gibraltar
Guinea
Guadalupe
Gambia
Guinea-Bisáu
Guinea Ecuatorial
Grecia
Grenada
Groenlandia
Guatemala
Guayana Francesa
Guam
Guyana
Hong Kong
Islas Heard y McDonald
Honduras
Croacia
Haití
Hungría
Indonesia
Isla de Man
India
Territorio Británico del Océano Índico
Irlanda
Iran
Irak
Islandia
Israel
Italia
Jamaica
Jersey
Jordania
Japón
Kazajistán
Kenia
Kirguizistán
Camboya
Kiribati
San Cristóbal y Nieves
Corea del Sur
Kosovo
Kuwait
Laos
Líbano
Liberia
Libia
Santa Lucía
Liechtenstein
Sri Lanka
Lesotho
Lituania
Luxemburgo
Letonia
Macao
Saint Martin
Marruecos
Mónaco
Moldavia
Madagascar
Maldivas
México
Islas Marshall
Macedonia del Norte
Mali
Malta
Myanmar
Montenegro
Mongolia
Islas Marianas del Norte
Mozambique
Mauritania
Montserrat
Martinica
Mauricio
Malawi
Malasia
Mayotte
Namibia
Nueva Caledonia
Níger
Isla de Norfolk
Nigeria
Nicaragua
Niue
Países Bajos
Noruega
Nepal
Nauru
Nueva Zelanda
Omán
Pakistán
Panamá
Islas Pitcairn
Perú
Filipinas
Palau
Papúa Nueva Guinea
Polonia
Puerto Rico
Corea del Norte
Portugal
Paraguay
Palestina
Polinesia Francesa
Catar
Reunión
Rumania
Rusia
Ruanda
Arabia Saudí
Sudán
Senegal
Singapur
Islas Georgias del Sur y Sandwich del Sur
Islas Svalbard y Jan Mayen
Islas Salomón
Sierra Leone
El Salvador
San Marino
Somalia
San Pedro y Miquelón
Serbia
Sudán del Sur
Santo Tomé y Príncipe
Surinam
Eslovaquia
Eslovenia
Suecia
Esuatini
Sint Maarten
Seychelles
Siria
Islas Turks y Caicos
Chad
Togo
Tailandia
Tayikistán
Islas Tokelau
Turkmenistán
Timor Oriental
Tonga
Trinidad y Tobago
Túnez
Turquía
Tuvalu
Taiwán
Tanzania
Uganda
Ucrania
Islas Ultramarinas Menores de Estados Unidos
Uruguay
Estados Unidos
Uzbekistán
Ciudad del Vaticano
San Vicente y Granadinas
Venezuela
Islas Vírgenes del Reino Unido
Islas Vírgenes de los Estados Unidos
Vietnam
Vanuatu
Wallis y Futuna
Samoa
Yemen
Sudáfrica
Zambia
Zimbabue
